,model_year,purchase_price_inr,odometer_km,vehicle_age_yrs,fleet_degradation_now,fleet_degradation_future
model_year,1.0,0.0007380784929687129,-0.24643026110735886,-1.0000000000000016,-0.25661768201478796,-0.2512973496879085
purchase_price_inr,0.0007380784929687129,1.0,0.009337256588361304,-0.000738078492956077,0.005367612442803673,0.004577878223402429
odometer_km,-0.24643026110735886,0.009337256588361304,1.0,0.24643026110738725,0.964644247155174,0.9515959555734387
vehicle_age_yrs,-1.0000000000000016,-0.000738078492956077,0.24643026110738725,1.0,0.2566176820148044,0.2512973496879235
fleet_degradation_now,-0.25661768201478796,0.005367612442803673,0.964644247155174,0.2566176820148044,1.0,0.9872816940271847
fleet_degradation_future,-0.2512973496879085,0.004577878223402429,0.9515959555734387,0.2512973496879235,0.9872816940271847,1.0
